RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
DMZ2054_access_in_#128,268438725,368610,2022-01-20T01:44:39Z,2024-01-18T19:03:21Z
DMZ2054_access_in_#129,268438726,0, , 
DMZ2054_access_in_#130,268438727,0, , 
DMZ2054_access_in_#131,268438728,529,2023-05-03T10:46:49Z,2024-01-17T15:53:52Z
DMZ2054_access_in_#132,268438729,62573931,2022-01-20T01:43:07Z,2024-01-18T19:03:56Z
DMZ2054_access_in_#133,268438730,2942536,2022-01-22T00:34:53Z,2024-01-18T19:03:47Z
DMZ2054_access_in_#134,268438731,21226754,2022-01-20T01:43:15Z,2024-01-18T19:03:52Z
DMZ2054_access_in_#135,268438732,0, , 
DMZ2054_access_in_#136,268438733,0, , 
DMZ2054_access_in_#137,268438734,7648,2022-01-24T07:05:06Z,2024-01-17T08:10:39Z
New_Atlassian_VM_testing,268442700,8339,2023-09-29T09:52:22Z,2023-12-01T09:37:08Z
DMZ2054_access_in_#142,268442709,0, , 
DMZ2054_access_in_#138,268439040,2497,2022-01-22T11:00:38Z,2023-10-24T22:34:41Z
DMZ2054_access_in_#143,268442718,1,2023-12-05T10:55:40Z,2023-12-05T10:55:40Z
DMZ2054_access_in_#144,268442720,0, , 
DMZ2056_access_in_#1,268438735,0, , 
DMZ2056_access_in_#2,268438736,0, , 
DMZ2056_access_in_#3,268438737,0, , 
DMZ2056_access_in_#4,268438738,8885,2022-01-22T11:38:03Z,2024-01-18T10:44:06Z
DMZ2056_access_in_#5,268438739,0, , 
DMZ2056_access_in_#6,268438740,226409673,2022-01-20T01:43:08Z,2024-01-18T19:03:56Z
DMZ2056_access_in_#7,268438741,0, , 
DMZ2056_access_in_#8,268438742,0, , 
DMZ2056_access_in_#9,268438743,0, , 
DMZ2056_access_in_#10,268438744,0, , 
DMZ2056_access_in_#11,268438745,0, , 
DMZ2056_access_in_#12,268438746,0, , 
DMZ2056_access_in_#13,268438747,0, , 
L7_DMZ2056_access_in_#14,268439037,0, , 
